customer_name,email,city,state,signup_date
Siddharth Singh_1,siddharth.singh_1@gmail.com,Kolkata,WB,17-03-2022
Sameer Tiwari_2,sameer.tiwari_2@gmail.com,Chennai,TN,18-12-2021
Rajat Ghosh_3,rajat.ghosh_3@gmail.com,Bangalore,KA,12-04-2021
Varun Iyer_4,varun.iyer_4@gmail.com,Delhi,DL,13-03-2024
Sunil Sawant_5,sunil.sawant_5@gmail.com,Kolkata,WB,04-02-2022
Mahesh Mishra_6,mahesh.mishra_6@gmail.com,Chennai,TN,25-03-2021
Aditya Bansal_7,aditya.bansal_7@gmail.com,Kolkata,WB,21-02-2021
Rajat Mittal_8,rajat.mittal_8@gmail.com,Kolkata,WB,17-11-2022
Naveen Bhardwaj_9,naveen.bhardwaj_9@gmail.com,Bangalore,KA,19-03-2023
Pradeep Chaudhary_10,pradeep.chaudhary_10@gmail.com,Pune,MH,31-05-2023
Ankit Yadav_11,ankit.yadav_11@gmail.com,Delhi,DL,21-06-2024
Harish Goenka_12,harish.goenka_12@gmail.com,Chennai,TN,05-01-2022
Rajiv Tripathi_13,rajiv.tripathi_13@gmail.com,Mumbai,MH,24-11-2023
Kunal Chaudhary_14,kunal.chaudhary_14@gmail.com,Kolkata,WB,16-10-2023
Mahesh Mittal_15,mahesh.mittal_15@gmail.com,Pune,MH,11-04-2023
Sanjay Rao_16,sanjay.rao_16@gmail.com,Kolkata,WB,05-06-2022
Sachin Kumar_17,sachin.kumar_17@gmail.com,Delhi,DL,20-08-2021
Mukesh Sen_18,mukesh.sen_18@gmail.com,Hyderabad,TS,28-02-2023
Aditya Tiwari_19,aditya.tiwari_19@gmail.com,Hyderabad,TS,15-04-2024
Ravi More_20,ravi.more_20@gmail.com,Pune,MH,13-12-2023
Shubham Kapoor_21,shubham.kapoor_21@gmail.com,Mumbai,MH,11-05-2024
Abhishek Naidu_22,abhishek.naidu_22@gmail.com,Hyderabad,TS,29-03-2024
Shubham Tiwari_23,shubham.tiwari_23@gmail.com,Bangalore,KA,13-07-2023
Rakesh Reddy_24,rakesh.reddy_24@gmail.com,Bangalore,KA,19-03-2022
Ajay Iyer_25,ajay.iyer_25@gmail.com,Mumbai,MH,20-04-2021
Mukesh Ghosh_26,mukesh.ghosh_26@gmail.com,Delhi,DL,02-07-2024
Aakash Saxena_27,aakash.saxena_27@gmail.com,Bangalore,KA,13-05-2022
Alok Shetty_28,alok.shetty_28@gmail.com,Delhi,DL,02-10-2023
Kunal _29,kunal._29@gmail.com,Delhi,DL,11-06-2023
Pradeep Chaudhary_30,pradeep.chaudhary_30@gmail.com,Pune,MH,02-01-2023
Suresh Rana_31,suresh.rana_31@gmail.com,Chennai,TN,24-05-2024
Anurag Gupta_32,anurag.gupta_32@gmail.com,Pune,MH,03-09-2023
Tarun Ghosh_33,tarun.ghosh_33@gmail.com,Kolkata,WB,19-06-2021
Siddharth Mukherjee_34,siddharth.mukherjee_34@gmail.com,Kolkata,WB,07-10-2024
Shubham Kapoor_35,shubham.kapoor_35@gmail.com,Pune,MH,13-12-2021
Kunal Malhotra_36,kunal.malhotra_36@gmail.com,Pune,MH,03-10-2023
Sachin Reddy_37,sachin.reddy_37@gmail.com,Mumbai,MH,04-08-2023
Siddharth Mishra_38,siddharth.mishra_38@gmail.com,Pune,MH,23-04-2024
Tarun Sen_39,tarun.sen_39@gmail.com,Mumbai,MH,25-09-2022
Naresh Kapoor_40,naresh.kapoor_40@gmail.com,Chennai,TN,12-04-2024
Rakesh More_41,rakesh.more_41@gmail.com,Mumbai,MH,02-12-2022
Vikas Sawant_42,vikas.sawant_42@gmail.com,Delhi,DL,26-07-2022
Kapil Kulkarni_43,kapil.kulkarni_43@gmail.com,Delhi,DL,14-09-2024
Ashish Thakur_44,ashish.thakur_44@gmail.com,Pune,MH,12-05-2023
Shubham Sen_45,shubham.sen_45@gmail.com,Mumbai,MH,15-11-2024
Ankit Singh_46,ankit.singh_46@gmail.com,Hyderabad,TS,11-11-2024
Arjun Iyer_47,arjun.iyer_47@gmail.com,Hyderabad,TS,21-08-2022
Rakesh Tiwari_48,rakesh.tiwari_48@gmail.com,Mumbai,MH,23-02-2023
Yogesh Mukherjee_49,yogesh.mukherjee_49@gmail.com,Kolkata,WB,26-05-2021
